experiment,operation,datatype,N,threads_per_block,j,k,cpu_us,gpu_us,speedup,memory_GBs,compute_GOPS,compute_intensity_OPS_per_byte,correct
vsN,add,float,1024,256,1,1,3.0,11.3894,0.263402,1.07889,0.0899078,0.0833333,1
vsN,add,float,4096,256,1,1,11.82,10.1888,1.1601,4.82412,0.40201,0.0833333,1
vsN,add,float,16384,256,1,1,41.08,11.6147,3.53689,16.9275,1.41062,0.0833333,1
vsN,add,float,65536,256,1,1,123.42,43.3296,2.8484,18.15,1.5125,0.0833333,1
vsN,add,float,262144,256,1,1,614.0,36.5568,16.7958,86.0504,7.17087,0.0833333,1
vsN,add,float,1048576,256,1,1,1981.48,134.052,14.7814,93.866,7.82217,0.0833333,1
vsN,add,float,4194304,256,1,1,13654.0,530.173,25.7539,94.9344,7.9112,0.0833333,1
vsN,add,float,8388608,256,1,1,15040.7,1044.7,14.3972,96.3566,8.02972,0.0833333,1
vsN,mul,float,1024,256,1,1,1.0,8.864,0.112816,1.38628,0.115523,0.0833333,1
vsN,mul,float,4096,256,1,1,7.22,12.4826,0.578407,3.93765,0.328138,0.0833333,1
vsN,mul,float,16384,256,1,1,22.0,9.94944,2.21118,19.7607,1.64673,0.0833333,1
vsN,mul,float,65536,256,1,1,90.86,11.2192,8.09862,70.097,5.84141,0.0833333,1
vsN,mul,float,262144,256,1,1,372.88,36.2675,10.2814,86.7368,7.22807,0.0833333,1
vsN,mul,float,1048576,256,1,1,1608.36,135.578,11.863,92.8097,7.73414,0.0833333,1
vsN,mul,float,4194304,256,1,1,7065.46,525.072,13.4562,95.8567,7.98806,0.0833333,1
vsN,mul,float,8388608,256,1,1,13072.6,1041.37,12.5532,96.6639,8.05533,0.0833333,1
vsJ,add,float,4194304,256,1,1,6949.42,525.947,13.2132,95.6972,7.97477,0.0833333,1
vsJ,add,float,4194304,256,2,1,6841.42,538.01,12.7162,93.5516,7.79597,0.0833333,1
vsJ,add,float,4194304,256,4,1,6832.44,688.773,9.91973,73.0744,6.08953,0.0833333,1
vsJ,add,float,4194304,256,8,1,6860.68,2253.01,3.04512,22.3397,1.86164,0.0833333,1
vsJ,add,float,4194304,256,16,1,6933.0,4573.92,1.51577,11.004,0.917004,0.0833333,1
vsJ,mul,float,4194304,256,1,1,6328.76,526.592,12.0183,95.58,7.965,0.0833333,1
vsJ,mul,float,4194304,256,2,1,6273.36,540.219,11.6126,93.169,7.76408,0.0833333,1
vsJ,mul,float,4194304,256,4,1,6334.16,667.941,9.48312,75.3535,6.27945,0.0833333,1
vsJ,mul,float,4194304,256,8,1,6417.4,2148.6,2.98678,23.4253,1.95211,0.0833333,1
vsJ,mul,float,4194304,256,16,1,6327.58,4577.94,1.38219,10.9944,0.9162,0.0833333,1
roofline,add,float,4194304,256,1,1,-1.0,528.137,0.0,95.3004,7.9417,0.0833333,1
roofline,add,float,4194304,256,1,2,-1.0,525.176,0.0,95.8377,15.9729,0.166667,1
roofline,add,float,4194304,256,1,4,-1.0,527.329,0.0,95.4463,31.8154,0.333333,1
roofline,add,float,4194304,256,1,8,-1.0,530.012,0.0,94.9632,63.3088,0.666667,1
roofline,add,float,4194304,256,1,16,-1.0,534.905,0.0,94.0945,125.459,1.33333,1
roofline,add,float,4194304,256,1,32,-1.0,546.774,0.0,92.0521,245.472,2.66667,1
roofline,add,float,4194304,256,1,64,-1.0,647.472,0.0,77.7357,414.59,5.33333,1
roofline,add,float,4194304,256,1,128,-1.0,934.707,0.0,53.8475,574.374,10.6667,1
roofline,add,float,4194304,256,1,256,-1.0,1546.33,0.0,32.5491,694.382,21.3333,1
roofline,add,float,4194304,256,1,512,-1.0,2776.17,0.0,18.1299,773.543,42.6667,1
roofline,add,float,4194304,256,1,1024,-1.0,5966.99,0.0,8.43502,719.788,85.3333,1
roofline,mul,float,4194304,256,1,1,-1.0,527.268,0.0,95.4575,7.95479,0.0833333,1
roofline,mul,float,4194304,256,1,2,-1.0,527.501,0.0,95.4154,15.9026,0.166667,1
roofline,mul,float,4194304,256,1,4,-1.0,526.694,0.0,95.5614,31.8538,0.333333,1
roofline,mul,float,4194304,256,1,8,-1.0,530.306,0.0,94.9106,63.2737,0.666667,1
roofline,mul,float,4194304,256,1,16,-1.0,532.516,0.0,94.5166,126.022,1.33333,1
roofline,mul,float,4194304,256,1,32,-1.0,544.663,0.0,92.4087,246.423,2.66667,1
roofline,mul,float,4194304,256,1,64,-1.0,633.129,0.0,79.4967,423.982,5.33333,1
roofline,mul,float,4194304,256,1,128,-1.0,906.875,0.0,55.5001,592.001,10.6667,1
roofline,mul,float,4194304,256,1,256,-1.0,1503.53,0.0,33.4757,714.149,21.3333,1
roofline,mul,float,4194304,256,1,512,-1.0,2704.11,0.0,18.613,794.157,42.6667,1
roofline,mul,float,4194304,256,1,1024,-1.0,5086.46,0.0,9.89521,844.392,85.3333,1
